2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Hudson's Bay Company,HBC.TO,16.64,16.68,16.81,16.82,"287,743","312,559","287,362",0.20,1.19%,1.20%,N/A,9.61%,"Apr 15, 2016","Mar 29, 2016",1.27,-38.50%,-0.94%,29.52,14.84,17.58,19.09,182100000.0,114740000.0,N/A,N/A,3280000.0,13.69,N/A,3040000000.0,7140000000.0,27.43,25.27,0.91,0.33,1.22,0.77,11.99,Jan 31,"Oct 31, 2015",1.34%,2.46%,1.37%,5.34%,9310000000.0,51.14,34.10%,N/A,596000000.0,125000000.0,0.61,N/A,292000000.0,1.60,4400000000.0,175.68,1.32,13.75,29000000.0,-527250000.0,N/A,N/A,N/A
George Weston Limited,WN.TO,112.03,112.21,112.21,112.01,"53,173","118,237","109,900",1.70,1.52%,1.50%,1.94%,44.99%,"Apr 1, 2016","Mar 11, 2016",0.43,8.81%,-0.94%,120.10,97.24,113.17,108.86,127910000.0,47180000.0,N/A,N/A,399210.0,5.49,N/A,14350000000.0,25340000000.0,29.17,15.84,1.40,0.30,2.11,0.54,7.81,Dec 31,"Oct 10, 2015",1.14%,3.33%,2.64%,6.49%,47380000000.0,371.03,2.90%,N/A,3240000000.0,496000000.0,3.85,203.80%,2690000000.0,21.07,13720000000.0,92.03,1.43,53.08,3770000000.0,1040000000.0,3:1,"May 20, 1998",N/A
Detour Gold Corporation,DGC.TO,25.77,25.87,24.72,24.91,"1,334,392","1,584,900","1,068,890",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.96,86.66%,-0.94%,25.85,10.62,20.63,16.55,172900000.0,157800000.0,N/A,N/A,6780000.0,6.08,N/A,4460000000.0,N/A,N/A,43.69,15.47,7.44,2.27,NaN,N/A,Dec 31,"Sep 30, 2015",-31.96%,-6.36%,-0.90%,-9.69%,567930000.0,3.42,4.60%,N/A,125260000.0,-181500000.0,-1.10,N/A,133449999.99999999,0.78,425070000.0,22.90,3.58,10.87,141110000.0,-13500000.0,N/A,N/A,N/A
Maple Leaf Foods Inc.,MFI.TO,26.39,26.49,25.92,25.92,"263,502","361,100","233,988",0.36,1.39%,1.30%,1.17%,110.34%,"Mar 31, 2016","Mar 9, 2016",0.59,15.88%,-0.94%,28.38,19.03,26.57,23.27,135430000.0,75660000.0,39.63%,40.30%,719700.0,1.26,N/A,3590000000.0,3420000000.0,N/A,19.20,1.11,1.13,1.74,1.06,26.34,Dec 31,"Sep 30, 2015",-0.62%,0.92%,0.66%,-0.67%,3210000000.0,22.66,-0.20%,N/A,129860000.00000001,-14630000.0,-0.14,N/A,306850000.0,2.20,29440000.0,1.42,2.45,14.90,97620000.0,25180000.0,N/A,N/A,N/A
Teck Resources Limited,TCK-B.TO,10.89,10.91,10.95,10.60,"5,272,060","2,226,090","2,288,560",0.10,0.91%,5.50%,3.53%,N/A,"Dec 30, 2015","Dec 10, 2015",3.43,-58.31%,-0.94%,26.98,10.22,12.96,16.14,566910000.0,466820000.0,N/A,N/A,16700000.0,2.07,N/A,6280000000.0,14030000000.0,N/A,40.37,12.93,0.76,0.38,1.70,6.97,Dec 31,"Dec 31, 2015",-29.96%,7.13%,1.03%,-14.01%,8260000000.0,14.33,-5.40%,N/A,2009999999.9999998,-2470000000.0,-4.29,N/A,1890000000.0,3.27,9630000000.0,57.91,2.78,28.47,1950000000.0,-217380000.0,2:1,"May 3, 2007",N/A
"Canyon Services Group, Inc.",FRC.TO,4.31,4.35,4.23,4.15,"144,238","337,706","681,388",N/A,N/A,3.20%,4.86%,N/A,"Jan 25, 2016","Jan 7, 2016",2.13,-50.85%,-0.94%,9.03,2.85,3.84,4.12,85750000.0,62970000.0,19.58%,93.40%,2220000.0,4.66,N/A,370460000.0,372970000.0,N/A,N/A,-1.04,0.59,0.80,0.75,5.89,Dec 31,"Sep 30, 2015",-4.39%,0.60%,0.33%,-5.62%,498320000.0,7.25,-45.50%,N/A,63300000.0,-21900000.0,-0.32,N/A,5440000.0,0.08,79940000.0,21.86,1.38,5.29,55840000.0,21690000.0,N/A,N/A,N/A
AutoCanada Inc.,ACQ.TO,19.63,19.78,20.00,19.97,"83,697","240,449","116,050",1.00,5.00%,5.00%,3.22%,108.12%,"Mar 15, 2016","Feb 25, 2016",3.03,-50.10%,-0.94%,47.36,16.06,18.48,23.17,27390000.0,16590000.0,N/A,N/A,1670000.0,5.29,N/A,540650000.0,1290000000.0,10.90,9.92,0.46,0.17,1.24,0.45,10.88,Dec 31,"Sep 30, 2015",1.54%,3.47%,4.61%,11.28%,2890000000.0,118.19,6.90%,N/A,118330000.0,44420000.0,1.81,-34.20%,77070000.0,3.15,882240000.0,195.10,1.15,16.11,84070000.0,-96620000.0,N/A,N/A,May 5 - May 9 (Est.)
Martinrea International Inc.,MRE.TO,9.73,9.77,9.83,9.83,"91,057","224,392","120,650",0.12,1.22%,1.20%,N/A,9.68%,"Apr 15, 2016","Mar 29, 2016",1.55,-21.67%,-0.94%,14.44,8.07,9.91,10.18,86380000.0,85280000.0,N/A,N/A,668920.0,3.40,N/A,843110000.0,1560000000.0,9.20,5.01,0.36,0.22,1.16,0.41,5.55,Dec 31,"Sep 30, 2015",2.42%,4.16%,4.36%,14.17%,3780000000.0,44.16,8.20%,N/A,280190000.0,91220000.0,1.06,-20.20%,7900000.0,0.09,720620000.0,98.74,1.24,8.46,206110000.0,4350000.0,N/A,N/A,May 3 - May 9 (Est.)
TORC Oil & Gas Ltd.,TOG.TO,8.16,8.20,8.41,8.20,"1,338,097","1,726,530","2,342,310",0.24,2.85%,5.80%,N/A,N/A,"Apr 15, 2016","Mar 29, 2016",2.74,-26.26%,-0.94%,11.26,3.71,7.38,6.20,162460000.0,152980000.0,N/A,N/A,3290000.0,2.58,"43,003.00%",1330000000.0,1530000000.0,N/A,N/A,N/A,6.28,0.96,7.15,10.68,Dec 31,"Sep 30, 2015",-52.88%,-39.99%,-3.22%,-9.63%,214590000.0,1.80,-12.40%,N/A,143630000.0,-113480000.0,-0.95,N/A,4160000.0,0.03,224310000.0,16.02,0.41,8.76,172530000.0,-435170000.0,1:5,"Sep 13, 2013",N/A
Enghouse Systems Limited,ESL.TO,52.15,52.74,51.97,51.80,"59,988","80,025","45,363",0.56,1.08%,0.90%,1.20%,33.08%,"Feb 29, 2016","May 13, 2016",0.21,-0.47%,-0.94%,77.54,42.55,53.59,59.51,26810000.0,18280000.0,0.37%,31.60%,160730.0,2.14,N/A,1410000000.0,1300000000.0,44.91,28.10,2.03,4.95,5.68,4.65,22.46,Oct 31,"Oct 31, 2015",11.25%,16.61%,8.24%,13.92%,279310000.0,10.64,23.00%,N/A,57820000.0,31430000.0,1.17,35.80%,98440000.0,3.70,0.0,N/A,1.53,9.15,50490000.0,57780000.0,2:1,"Sep 15, 2004",Jun 8 - Jun 13 (Est.)
IGM Financial Inc.,IGM.TO,39.18,39.37,38.95,38.84,"248,823","318,549","214,675",2.25,5.78%,5.80%,4.87%,72.40%,"Apr 29, 2016","Mar 29, 2016",1.35,-13.18%,-0.94%,46.32,31.47,37.48,36.28,242650000.0,85770000.0,N/A,N/A,10770000.0,33.74,N/A,9520000000.0,16940000000.000002,12.62,12.27,3.73,3.13,2.03,5.59,15.20,Dec 31,"Dec 31, 2015",25.78%,35.76%,4.63%,16.11%,3030000000.0,12.20,1.40%,N/A,1110000000.0,771690000.0,3.11,16.50%,1030000000.0,4.23,8420000000.0,173.68,4.20,19.19,621760000.0,672860000.0,2:1,"Jul 9, 1998",N/A
DREAM INDUSTRIAL REIT,DIR-UN.TO,8.00,8.02,8.03,8.02,"45,197",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surge Energy Inc.,SGY.TO,2.19,2.20,2.27,2.22,"1,612,846","3,159,880","4,522,700",0.15,6.61%,10.60%,N/A,N/A,"Apr 15, 2016","Mar 29, 2016",2.99,-42.56%,-0.94%,4.57,1.40,2.31,2.38,221050000.0,213610000.0,2.79%,95.30%,8560000.0,3.11,N/A,486300000.0,617170000.0,N/A,N/A,N/A,1.99,0.57,2.45,3.45,Dec 31,"Sep 30, 2015",-102.61%,-132.65%,-12.72%,-24.75%,251910000.0,1.14,-68.10%,N/A,178760000.0,-258480000.00000003,-1.18,N/A,N/A,N/A,130970000.0,14.77,0.75,4.01,126190000.0,155690000.0,2:1,"Jun 21, 2006",May 10 - May 16 (Est.)
West Fraser Timber Co. Ltd.,WFT.TO,44.70,44.99,45.10,45.16,"81,928","241,498","192,412",0.28,0.62%,0.60%,0.71%,22.72%,"Apr 4, 2016","Mar 17, 2016",1.17,-25.48%,-0.94%,71.00,38.08,47.17,47.07,80180000.0,67570000.0,1.18%,74.10%,434380.0,1.45,N/A,3690000000.0,4280000000.0000005,50.39,10.14,N/A,0.91,1.73,1.04,9.84,Dec 31,"Dec 31, 2015",2.54%,5.95%,4.34%,4.98%,4099999999.9999995,49.34,5.10%,N/A,435000000.0,104000000.0,0.89,N/A,13000000.0,0.16,601000000.0,27.99,1.60,26.04,301000000.0,-72500000.0,1:1,"Apr 1, 2014",N/A
Gibson Energy Inc.,GEI.TO,16.38,16.46,16.83,16.68,"404,067","394,225","272,788",1.32,7.84%,7.70%,N/A,N/A,"Apr 15, 2016","Mar 29, 2016",1.35,-42.75%,-0.94%,29.37,11.46,17.59,16.23,126490000.0,125230000.0,N/A,N/A,1410000.0,3.81,N/A,2069999999.9999998,3300000000.0,N/A,39.98,-3.24,0.34,1.53,0.52,8.85,Dec 31,"Sep 30, 2015",-0.87%,2.18%,2.45%,-3.93%,6290000000.0,50.25,-42.80%,N/A,372590000.0,-55030000.0,-0.44,N/A,36330000.0,0.29,1270000000.0,91.22,1.31,11.01,482900000.0,57480000.0,N/A,N/A,N/A
Canadian Apartment Properties REIT,CAR-UN.TO,29.87,29.99,30.09,30.02,"106,101","179,494","148,557",1.22,4.05%,3.90%,4.76%,41.87%,"Apr 15, 2016","Mar 29, 2016",0.03,22.74%,-0.94%,30.25,22.85,27.81,28.15,126850000.0,123420000.0,N/A,N/A,525660.0,2.04,N/A,3800000000.0,7090000000.0,10.39,N/A,N/A,7.19,1.05,13.28,24.58,Dec 31,"Dec 31, 2015",64.75%,53.52%,2.74%,10.41%,533799999.99999994,4.51,11.40%,N/A,288490000.0,345630000.0,2.88,66.00%,N/A,N/A,3270000000.0,89.40,0.08,28.69,292820000.0,130400000.0,N/A,N/A,N/A
NuVista Energy Ltd.,NVA.TO,4.66,4.69,4.98,4.83,"544,533","421,613","351,612",N/A,N/A,N/A,N/A,N/A,"Jan 17, 2011","Dec 29, 2010",1.77,-45.75%,-0.94%,9.54,2.72,4.80,4.40,153340000.0,146150000.0,N/A,N/A,11200000.0,12.68,N/A,714580000.0,887140000.0,N/A,N/A,-5.18,3.29,1.09,3.82,5.90,Dec 31,"Sep 30, 2015",-63.03%,-9.59%,-1.32%,-20.56%,232180000.0,1.60,-11.60%,N/A,150330000.0,-146330000.0,-1.01,N/A,N/A,N/A,172760000.0,24.77,0.60,4.55,114110000.0,-163280000.0,N/A,N/A,N/A
Colliers International Group Inc.,CIG.TO,49.84,50.37,49.49,49.93,"44,301","68,116","30,775",0.11,0.23%,0.40%,N/A,23.73%,"Jan 8, 2016","Dec 29, 2015",0.92,4.70%,-0.94%,66.71,30.15,47.57,54.53,37260000.0,29420000.0,N/A,N/A,98760.0,1.85,N/A,1940000000.0,2080000000.0,81.18,19.25,2.48,1.11,13.45,1.21,11.90,Dec 31,"Dec 31, 2015",1.36%,7.92%,6.24%,11.87%,1720000000.0,46.30,2.70%,N/A,175070000.0,22240000.0,0.62,110.30%,116150000.0,3.01,260950000.0,90.27,1.03,3.68,157240000.0,237830000.0,1709:1000,"Jun 2, 2015",N/A
Parex Resources Inc.,PXT.TO,11.52,11.64,11.95,11.75,"203,709","461,575","326,788",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.18,24.49%,-0.94%,12.41,7.16,10.95,10.10,151510000.0,142080000.0,N/A,N/A,1910000.0,10.50,N/A,1750000000.0,1630000000.0,N/A,N/A,-1.58,3.42,2.43,3.09,7.81,Dec 31,"Sep 30, 2015",-35.67%,-2.09%,-0.61%,-21.58%,526340000.00000006,3.73,-44.00%,N/A,208230000.0,-166380000.0,-1.33,N/A,109370000.0,0.73,0.0,N/A,1.44,4.91,273170000.0,88630000.0,N/A,N/A,May 9 - May 13 (Est.)
Major Drilling Group International Inc.,MDI.TO,7.30,7.40,7.28,7.09,"100,498","131,203","90,413",0.04,0.55%,0.30%,1.95%,N/A,"Nov 2, 2015","Oct 7, 2015",0.76,11.84%,-0.94%,7.44,3.55,6.68,5.26,80140000.0,79700000.0,N/A,N/A,1070000.0,4.40,N/A,590610000.0,557490000.0,N/A,N/A,-6.07,1.83,1.26,1.74,22.80,Apr 30,"Oct 31, 2015",-15.21%,-9.34%,-3.31%,-10.37%,319580000.0,3.99,-2.90%,N/A,24450000.0,-48620000.0,-0.61,N/A,49580000.0,0.62,16460000.0,3.56,4.11,5.78,16840000.0,19530000.0,3:1,"Mar 21, 2011",N/A
Performance Sports Group Ltd.,PSG.TO,4.15,4.21,4.93,4.51,"586,422","350,740","369,162",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.05,-83.35%,-0.94%,25.99,3.76,5.76,11.50,45570000.0,38810000.0,N/A,N/A,2120000.0,3.14,4.22%,189100000.0,660390000.0,N/A,9.65,-8.89,0.37,0.76,1.08,11.59,May 31,"Nov 30, 2015",-2.83%,5.39%,2.35%,-5.47%,613380000.0,13.54,-11.20%,N/A,56970000.0,-17350000.0,-0.38,N/A,6590000.0,0.14,477880000.0,160.63,1.92,6.53,4710000.0,1880000.0,N/A,N/A,N/A
"Norbord, Inc.",OSB.TO,25.80,25.96,25.92,25.90,"82,870","178,355","109,962",N/A,N/A,2.10%,N/A,N/A,"Mar 21, 2016",N/A,N/A,7.40%,-0.94%,29.23,18.64,25.24,24.90,85440000.0,39760000.0,N/A,N/A,N/A,N/A,N/A,2210000000.0,2970000000.0,N/A,N/A,N/A,1.47,4.27,1.97,25.63,Dec 31,"Dec 31, 2015",-3.71%,1.99%,1.09%,-9.51%,1510000000.0,17.67,11.60%,N/A,116000000.0,-56000000.0,-0.66,N/A,9000000.0,0.11,775000000.0,149.33,1.67,6.08,24000000.0,-9750000.0,N/A,N/A,N/A
"HudBay Minerals, Inc.",HBM.TO,4.23,4.27,4.26,4.14,"1,164,743","2,340,820","2,328,990",0.02,0.47%,0.50%,1.24%,N/A,"Mar 31, 2016","Mar 9, 2016",3.86,-59.47%,-0.94%,12.61,2.26,4.71,4.88,235230000.0,234700000.0,N/A,N/A,6560000.0,3.14,N/A,1000000000.0,2210000000.0,N/A,53.25,1.70,1.13,0.56,2.49,7.73,Dec 31,"Dec 31, 2015",-37.41%,7.67%,1.00%,-18.67%,886050000.0,3.78,198.70%,N/A,285540000.0,-331430000.0,-1.41,N/A,70360000.0,0.30,1270000000.0,71.33,1.15,7.60,185660000.0,-309830000.0,0:1,"Dec 24, 2004",N/A
SEMAFO Inc.,SMF.TO,4.64,4.67,4.60,4.66,"910,853","1,817,680","1,739,080",N/A,N/A,N/A,N/A,N/A,"Jul 15, 2013","Jun 26, 2013",2.86,25.27%,-0.94%,5.20,2.46,4.64,3.76,298470000.0,293580000.0,17.11%,33.20%,885120.0,0.39,N/A,1390000000.0,1320000000.0,46.14,33.29,1.07,4.42,2.36,4.32,8.44,Dec 31,"Sep 30, 2015",9.48%,22.34%,6.23%,6.04%,306240000.0,1.07,-14.20%,N/A,156690000.0,29040000.0,0.10,14.80%,137790000.0,0.47,88140000.0,14.59,3.02,1.95,131360000.00000001,45070000.0,N/A,N/A,N/A
MEG Energy Corp.,MEG.TO,6.70,6.72,7.06,6.85,"1,822,357","2,890,660","2,398,820",N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.03,-72.31%,-0.94%,24.60,3.46,6.25,7.81,225000000.0,156300000.0,66.69%,26.60%,16200000.0,4.21,N/A,1510000000.0,6330000000.0,N/A,N/A,-0.05,0.82,0.43,3.29,30.96,Dec 31,"Dec 31, 2015",-60.73%,-13.95%,-1.74%,-27.70%,1930000000.0,8.58,-27.70%,N/A,204360000.0,-1170000000.0,-5.21,N/A,408210000.0,1.81,5220000000.0,142.06,2.46,16.35,112160000.0,-197280000.0,N/A,N/A,N/A
Allied Properties REIT,AP-UN.TO,34.29,34.48,34.20,34.12,"125,815","208,282","201,777",1.50,4.39%,3.90%,4.36%,44.72%,"Apr 15, 2016","Mar 29, 2016",0.66,-15.85%,-0.94%,41.37,29.11,33.92,32.95,78470000.0,76510000.0,N/A,N/A,703510.0,4.04,N/A,2700000000.0,4390000000.0,9.07,13.87,10.64,7.42,1.04,12.19,21.00,Dec 31,"Sep 30, 2015",81.00%,54.24%,2.96%,12.09%,360060000.0,4.69,5.60%,N/A,209010000.0,291640000.0,3.79,143.50%,6630000.0,0.09,1710000000.0,66.65,0.21,32.83,178510000.0,118650000.0,N/A,N/A,N/A
IAMGOLD Corp.,IMG.TO,3.65,3.68,3.43,3.48,"2,373,433","2,439,470","2,537,450",N/A,N/A,N/A,N/A,N/A,"Jul 12, 2013","Jun 28, 2013",2.15,38.11%,-0.94%,3.79,1.50,3.06,2.47,405940000.0,389710000.0,N/A,N/A,11110000.0,3.85,N/A,1490000000.0,1660000000.0,N/A,N/A,-3.42,1.47,0.71,1.81,12.64,Dec 31,"Dec 31, 2015",-82.37%,-81.58%,-12.51%,-34.57%,917000000.0,2.35,-12.60%,N/A,131300000.00000001,-797100000.0,-1.94,N/A,481200000.0,1.22,699200000.0,36.08,3.80,4.82,26000000.0,574300000.0,N/A,N/A,N/A
Linamar Corp.,LNR.TO,57.94,58.19,58.85,58.64,"117,956","209,805","150,838",0.40,0.68%,0.70%,1.06%,6.03%,"Apr 15, 2016","Mar 30, 2016",1.45,-24.11%,-0.94%,89.42,49.64,60.54,65.75,65170000.0,45010000.0,N/A,N/A,208010.0,0.74,N/A,3780000000.0,4150000000.0000005,9.21,7.10,0.74,0.78,1.79,0.84,5.02,Dec 31,"Sep 30, 2015",8.39%,11.48%,10.55%,22.13%,4920000000.0,75.62,24.80%,N/A,825000000.0,413180000.0,6.29,35.50%,204210000.0,3.14,575140000.0,26.89,1.72,32.85,623620000.0,155780000.0,3:1,"May 15, 1998",N/A
Canadian Natural Resources Limited,CNQ.TO,36.67,36.70,37.52,36.65,"1,744,053","3,941,120","3,061,780",0.92,2.45%,2.50%,1.73%,N/A,"Apr 1, 2016","Mar 16, 2016",2.19,-10.43%,-0.94%,41.68,21.27,34.52,30.77,1100000000.0,1060000000.0,N/A,N/A,11490000.0,2.51,N/A,40180000000.0,56620000000.0,94.29,146.72,-0.38,2.94,1.49,4.06,7.98,Dec 31,"Sep 30, 2015",3.08%,10.77%,1.57%,1.55%,13950000000.0,12.77,-33.90%,N/A,7100000000.0,430000000.0,0.39,N/A,30000000.0,0.03,16510000000.000002,60.07,0.71,25.11,6460000000.0,-980750000.0,2:1,"May 19, 2010",May 5 - May 9 (Est.)
Canadian Tire Corp. Ltd.,CTC-A.TO,132.62,132.71,132.41,132.43,"128,846","164,641","108,871",2.30,1.74%,1.60%,1.64%,24.39%,"Jun 1, 2016","Apr 27, 2016",0.88,27.14%,-0.94%,137.48,101.58,133.10,128.24,70140000.0,66230000.00000001,N/A,N/A,1630000.0,6.70,N/A,9760000000.0,14750000000.0,15.40,N/A,N/A,0.79,1.96,1.20,10.90,Jan 2,"Jan 2, 2016",5.37%,8.46%,4.40%,12.89%,12280000000.0,161.25,-7.50%,N/A,1350000000.0,659400000.0,8.61,17.70%,996000000.0,13.54,5990000000.0,103.51,2.24,67.43,978900000.0,-44690000.0,N/A,N/A,N/A
Pembina Pipeline Corporation,PPL.TO,35.47,35.51,35.90,35.58,"802,346","1,087,150","802,125",1.92,5.35%,5.10%,5.06%,191.40%,"May 13, 2016","Apr 21, 2016",0.88,-16.62%,-0.94%,43.51,26.05,34.39,32.12,377060000.0,359760000.0,N/A,N/A,11750000.0,9.55,N/A,13380000000.0,16140000000.0,34.78,21.90,1.71,2.80,2.05,3.48,17.02,Dec 31,"Dec 31, 2015",8.76%,14.78%,3.54%,5.90%,4640000000.0,13.36,-1.40%,N/A,948000000.0,406000000.0,1.02,54.80%,28000000.0,0.08,3320000000.0,44.76,1.06,17.47,801000000.0,-1270000000.0,N/A,N/A,N/A
Pengrowth Energy Corporation,PGF.TO,1.60,1.61,1.60,1.56,"1,145,728","4,412,230","2,003,560",N/A,N/A,6.90%,10.79%,N/A,"Dec 15, 2015","Nov 26, 2015",4.40,-61.72%,-0.94%,4.28,0.66,1.39,1.17,543030000.0,540360000.0,N/A,N/A,15540000.0,2.34,N/A,868850000.0,2940000000.0,N/A,N/A,0.54,1.04,0.39,3.53,3.04,Dec 31,"Sep 30, 2015",-135.94%,0.61%,0.05%,-39.54%,831600000.0,1.55,-36.50%,N/A,966800000.0,-1130000000.0,-2.11,N/A,N/A,N/A,2069999999.9999998,92.50,1.17,4.12,528500000.0,64430000.00000001,N/A,N/A,May 5 - May 9 (Est.)
Stella-Jones Inc.,SJ.TO,47.25,47.46,47.22,47.23,"92,266","145,179","83,100",0.40,0.85%,0.70%,0.86%,15.65%,"Apr 29, 2016","Mar 30, 2016",0.62,20.26%,-0.94%,54.00,37.26,47.37,47.42,69140000.0,42060000.0,N/A,N/A,1380000.0,11.32,N/A,3270000000.0,3810000000.0,24.88,17.45,1.00,2.19,3.79,2.55,16.46,Dec 31,"Sep 30, 2015",8.81%,13.96%,9.08%,17.28%,1490000000.0,21.63,21.20%,N/A,231170000.0,131350000.0,1.90,33.20%,N/A,N/A,538320000.0,62.51,5.17,12.47,49080000.0,-101430000.0,4:1,"Oct 28, 2013",N/A
Cardinal Energy Ltd.,CJ.TO,8.63,8.72,8.72,8.57,"319,072","516,578","515,800",0.42,4.82%,8.40%,N/A,N/A,"May 16, 2016","Mar 29, 2016",N/A,-47.30%,-0.94%,16.60,5.59,8.45,8.75,65900000.00000001,60560000.0,N/A,N/A,2240000.0,4.65,N/A,572700000.0,619010000.0,N/A,N/A,0.81,3.29,0.80,3.60,5.13,Dec 31,"Sep 30, 2015",-40.67%,-74.96%,-9.44%,-10.26%,172000000.0,3.00,-20.10%,N/A,120720000.0,-69960000.0,-1.23,N/A,2470000.0,0.04,56720000.0,8.94,1.10,10.88,108780000.0,137540000.0,N/A,N/A,N/A
Loblaw Companies Limited,L.TO,70.71,70.75,70.63,70.51,"820,593","667,006","834,988",1.00,1.42%,1.40%,1.96%,66.10%,"Apr 1, 2016","Mar 11, 2016",0.60,12.13%,-0.94%,74.59,60.71,71.29,67.88,410160000.0,219810000.0,21.32%,15.70%,12960000.0,16.30,N/A,29010000000.0,39900000000.0,39.66,16.15,1.36,0.63,2.23,0.87,11.50,Jan 3,"Oct 10, 2015",1.63%,4.10%,3.47%,5.75%,45940000000.0,111.61,2.60%,N/A,3470000000.0,744000000.0,1.78,19.70%,1320000000.0,3.21,12130000000.0,91.36,1.34,31.72,3470000000.0,1240000000.0,3:1,"May 8, 1996",N/A
Great-West Lifeco Inc.,GWO.TO,35.49,35.65,35.60,35.48,"242,731","454,102","430,238",1.30,3.66%,3.70%,4.42%,47.11%,"Mar 31, 2016","Dec 1, 2015",0.87,-3.31%,-0.94%,37.70,30.42,35.25,34.49,993200000.0,287120000.0,N/A,N/A,28190000.0,58.87,N/A,35370000000.0,-55210000000.0,12.86,11.27,1.65,1.05,1.77,-1.63,-13.68,Dec 31,"Dec 31, 2015",8.54%,11.26%,0.63%,12.77%,33820000000.0,33.97,-22.30%,N/A,4040000000.0,2760000000.0,2.77,3.80%,96620000000.0,97.27,6040000000.0,23.89,14.42,20.07,5120000000.0,-2770000000.0,2:1,"Oct 4, 2004",N/A
Northland Power Inc.,NPI.TO,20.89,20.97,20.95,20.85,"195,382","462,602","339,512",1.08,5.16%,5.20%,5.89%,"5,277.04%","May 16, 2016","Apr 28, 2015",0.43,17.43%,-0.94%,21.95,14.45,20.77,18.76,170010000.0,110260000.0,N/A,N/A,4850000.0,9.41,N/A,3570000000.0,8480000000.0,N/A,19.90,1.57,4.91,4.88,11.64,22.12,Dec 31,"Dec 31, 2015",0.16%,32.81%,2.42%,2.19%,728140000.0,4.35,-8.80%,N/A,383220000.0,-12050000.0,-0.07,N/A,151930000.0,0.89,5060000000.0,359.92,1.43,4.29,398740000.0,-1990000000.0,N/A,N/A,N/A
Savanna Energy Services Corp.,SVY.TO,1.45,1.50,1.50,1.45,"34,847","64,762","62,550",N/A,N/A,N/A,N/A,N/A,"Apr 15, 2015","Mar 27, 2015",1.35,-32.43%,-0.94%,2.42,0.97,1.39,1.27,90250000.0,87920000.0,N/A,N/A,326210.0,4.21,N/A,135380000.0,426230000.0,N/A,N/A,-0.07,0.25,0.21,0.78,3.16,Dec 31,"Sep 30, 2015",-43.71%,4.13%,1.13%,-31.84%,550260000.0,6.10,-51.00%,N/A,134750000.0,-240510000.0,-2.67,N/A,18220000.0,0.20,309000000.0,46.94,2.13,7.10,170180000.0,-3050000.0,1:1,"Aug 21, 2003",May 3 - May 9 (Est.)
Westport Innovations Inc.,WPT.TO,3.22,3.32,3.25,3.30,"17,067","28,784","16,113",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.46,-39.74%,-0.94%,7.46,1.79,3.37,3.25,64330000.0,53630000.0,N/A,N/A,2210000.0,58.48,3.84%,211660000.0,235480000.0,N/A,N/A,-0.09,1.98,2.44,2.23,-2.49,Dec 31,"Sep 30, 2015",-132.59%,-104.24%,-22.29%,-86.88%,105590000.0,1.65,-11.80%,N/A,-94570000.0,-140000000.0,-2.19,N/A,42060000.0,0.66,66190000.0,77.30,1.75,1.33,-78010000.0,-35080000.0,10:35,"Jul 24, 2008",May 5 - May 9 (Est.)
